Symbol,Name,Belonging_To_Sector,Key_Name,included_in_industries,children
NQUSB10101010,Nasdaq US Benchmark Computer Services Index,NQUSB10,Computer Services,"NQUSB10,NQUSB101010,NQUSB10101010",
NQUSB10101020,Nasdaq US Benchmark Consumer Digital Services Index,NQUSB10,Consumer Digital Services,"NQUSB10,NQUSB101010,NQUSB10101020",
NQUSB10101015,Nasdaq US Benchmark Software Index,NQUSB10,Software,"NQUSB10,NQUSB101010,NQUSB10101015",
NQUSB10102030,Nasdaq US Benchmark Computer Hardware Index,NQUSB10,Computer Hardware,"NQUSB10,NQUSB101020,NQUSB10102030",
NQUSB10102010,Nasdaq US Benchmark Semiconductors Index,NQUSB10,Semiconductors,"NQUSB10,NQUSB101020,NQUSB10102010",
NQUSB151010,Nasdaq US Benchmark Telecommunications Equipment Index,NQUSB15,Telecommunications Equipment,"NQUSB15,NQUSB151010",
NQUSB60102010,Nasdaq US Benchmark Alternative Fuels Index,NQUSB60,Alternative Fuels,"NQUSB60,NQUSB601020,NQUSB60102010",
NQUSB50206030,Nasdaq US Benchmark Marine Transportation Index,NQUSB50,Marine Transportation,"NQUSB50,NQUSB5020,NQUSB502060,NQUSB50206030",
NQUSB45101015,Nasdaq US Benchmark Distillers and Vintners Index,NQUSB45,Distillers and Vintners,"NQUSB45,NQUSB4510,NQUSB451010,NQUSB45101015",
NQUSB55102000,Nasdaq US Benchmark General Mining Index,NQUSB55,General Mining,"NQUSB55,NQUSB5510,NQUSB551020,NQUSB55102000",
NQUSB40101020,Nasdaq US Benchmark Automobiles Index,NQUSB40,Automobiles,"NQUSB40,NQUSB4010,NQUSB40101020",
NQUSB65101010,Nasdaq US Benchmark Alternative Electricity Index,NQUSB65,Alternative Electricity,"NQUSB65,NQUSB651010,NQUSB65101010",
NQUSB30302015,Nasdaq US Benchmark Insurance Brokers Index,NQUSB30,Insurance Brokers,"NQUSB30,NQUSB3030,NQUSB303020,NQUSB30302015",
NQUSB60LM,Nasdaq US Energy Large Mid Cap Index,SECTOR,Energy,NQUSB60,
NQUSB601010LM,"Nasdaq US Oil, Gas and Coal Large Mid Cap Index",NQUSB60,"Oil, Gas and Coal","NQUSB60,NQUSB601010",
NQUSB60101010LM,Nasdaq US Oil: Crude Producers Large Mid Cap Index,NQUSB60,Oil: Crude Producers,"NQUSB60,NQUSB601010,NQUSB60101010",
