Industry,Total_Available,include_top,Top_Stocks
Metal Fabrication,19,14,"RBC, MLI, VMI, USAR, ROCK, IIIN, ZEUS, ASTL, PKOH, NL, CIX, ZJK, GIFI, HLP"
Miscellaneous,9,7,"LMB, PANL, INV, ALPS, YOUL, TWNP, GAME"
Miscellaneous Commercial Services,39,28,"SHOP, RELX, PYPL, XYZ, FISV, ROL, CPAY, ULS, GPN, MEDP, ICLR, RTO, KLAR, BAH, CRL, CAE, G, TAL, ADT, FOUR, BFAM, WEX, FCN, MMS, BCO, LAUR, LOPE, LB"
Miscellaneous Manufacturing,13,10,"WMS, AWI, BRC, YETI, LCII, DAKT, SWIM, MATW, MYE, OFLX"
Motor Vehicles,39,28,"TSLA, TM, RACE, GM, F, HMC, STLA, XPEV, RIVN, LI, NIO, OSK, VFS, FSS, ZK, LCID, HOG, REVG, BLBD, PSNY, PSNYW, AEBI, LOT, MLR, NIU, AIIO, FFAI, EMPD"
Movies/Entertainment,39,28,"DIS, TKO, LYV, DKNG, CHDN, MSGS, CNK, MANU, BATRA, BATRK, MSGE, LION, PRKS, FUN, AMC, LUCK, PRSU, ACEL, ANGX, GDEN, PLAY, MCS, VENU, CDRO, CURI, SEG, SLMT, STRZ"
Multi-Line Insurance,39,28,"PGR, MFC, AFL, ALL, MET, AIG, PUK, ACGL, SLF, WRB, CINF, BNT, UNM, CNA, AEG, GL, KNSL, AXS, LNC, RLI, ACT, WTM, FG, CNO, GNW, AHL, BWIN, HG"
Office Equipment/Supplies,5,5,"HNI, SCS, MLKN, ACCO, VIRC"
Oil & Gas Pipelines,26,19,"ENB, WMB, EPD, KMI, ET, TRP, MPLX, OKE, LNG, PBA, VG, WES, PAA, DTM, AM, SOBO, KNTK, GLNG, PAGP"
Oil & Gas Production,39,28,"COP, FANG, WDS, AR, RRC, CRK, CNX, VIST, MUR, MGY, GPOR, SM, NOG, TALO, NEXT, XPRO, VET, WTTR, HPK, VTS, CLB, GRNT, VTLE, SD, GPRK, OBE, EGY, PNRG"
Oil Refining/Marketing,12,9,"MPC, E, PSX, VLO, DINO, IEP, PBF, CVI, DK"
Oilfield Services/Equipment,31,22,"HAL, FTI, NOV, WFRD, AROC, WHD, USAC, KGS, LBRT, INVX, FLOC, NESR, RES, AESI, PUMP, HLX, ACDC, FTK, OIS, FET, RNGR, OMSE"
Other Consumer Services,39,28,"BKNG, CTAS, TCOM, EXPE, SCI, PLNT, EDU, LTH, HRB, GHC, BGSI, GBTG, VVV, ATGE, UNF, PTON, LRN, DRVN, OSW, VAC, STRA, PRDO, MCW, TRIP, AFYA, CSV, APEI, FIP"
Other Consumer Specialties,5,5,"MSA, FWDI, ZEPP, MOV, FOSL"
Other Metals/Minerals,39,28,"RIO, SCCO, FCX, CCJ, TECK, CRS, ATI, MP, HBM, UEC, NXE, LEU, UUUU, AUGO, ERO, TMC, DNN, IE, TGB, ALM, SLSR, SGML, USAS, NAK, CNL, NEXA, LAR, UAMY"
Other Transportation,17,12,"UBER, PFGC, PAC, ASR, SARO, LYFT, VNT, OMAB, CAAP, VRRM, SMHI, CCEL"
Packaged Software,39,28,"MSFT, ORCL, PLTR, SAP, CRM, APP, INTU, NOW, ADBE, PANW, CRWD, ADP, NTES, SNOW, CDNS, SNPS, RBLX, ADSK, DDOG, EA, ROP, TTWO, ZS, VEEV, TEAM, CRWV, FIS, MDB"
Personnel Services,24,17,"KFY, RHI, UPWK, MAN, HSII, BBSI, AMN, KFRC, CCRN, KELYB, KELYA, TBI, RCMT, HQI, MHH, DLHC, DHX"
Pharmaceuticals/ Generic,1,1,TEVA
Pharmaceuticals/ Major,39,28,"LLY, JNJ, ABBV, AZN, MRK, NVS, NVO, PFE, SNY, VRTX, BMY, GSK, REGN, ALNY, ZTS, TAK, HLN, INSM, ONC, BIIB, INCY, GMAB, ROIV, MDGL, IONS, ASND, VTRS, EXEL"
Pharmaceuticals/ Other,32,23,"RVMD, ABVX, CDTX, BRBR, BHC, AVBP, CRON, NAGE, USNA, NATR, FTLF, UPXI, SCLX, LFVN, ATPC, MIRA, PAVS, BNKK, IBIO, SNYR, NAII, MTEX, CURX"
Precious Metals,39,28,"NEM, AEM, B, WPM, AU, FNV, GFI, KGC, PAAS, RGLD, AGI, HMY, HL, EQX, CDE, IAG, SBSW, TFPM, AG, OR, NGD, EGO, BTG, BVN, SSRM, ORLA, NG, PPTA"
Property/Casualty Insurance,39,28,"BRK.A, BRK.B, CB, TRV, HIG, MKL, L, ERIE, EG, RNR, AFG, AIZ, THG, MTG, LMND, MCY, SIGI, HGTY, PLMR, NMIH, SPNT, KMPR, HCI, HMN, PRA, SAFT, PRCH, UFCS"
Publishing/ Books/Magazines,6,5,"PSO, WLY, WLYB, SCHL, VALU"
Publishing/ Newspapers,7,5,"NWS, NWSA, NYT, TDAY, DJCO"
Pulp & Paper,6,5,"IP, AVY, SUZ, SLVM, CLW"
Railroads,6,5,"UNP, NSC, CSX, CP, CNI"
